"area"|"section"|"map number"|"location"|"description"|"job number"|"number of sheets"|"date"|"cross ref area"|"cross ref section"|"cross ref map number"|"hash"
20|31|219-224|Dan Ryan Woods - Beuabien Preserve - Wampum Lake Woods - Horsetail Slough|Bituminous Concrete Resurfacing|71-12|6|1971|0|0||164|00002132.PDF
20|31|214-218|Dan Ryan Woods (Prints)|Sewers, Water Mains and Drinking Fountains|5057-A|5|1-58|0|0||165|00002133.PDF
20|31|212-213|Dan Ryan Woods|Comfort Station - Utilities|343|2|8-35|0|0||166|00002134.PDF
20|31|209-211|Dan Ryan Woods (Beverly Hills)|Drainage Plan of Ball Field and Play Area|C.W.A.520 - C.O.212|3|2-34|0|0||167|00002135.PDF
20|31|208|Dan Ryan Woods (Beverly Hills)|Parking Space and Topography||1||0|0||168|00002136.PDF
20|31|197-207|Dan Ryan Woods - Loc. 6|Fencing South|69-25|11|9-69|0|0||169|00002137.PDF
20|31|112|Dan Ryan Woods|Traffic Line Marking||8|8-62|0|0||477|00002138.PDF
20|31|194-196|Dan Ryan Woods|Fencing Plan|EPR-69|3|9-69|0|0||170|00002139.PDF
20|31|016-017|Dan Ryan Woods|Service Drive to Warming Shelter||2|4-36|0|0||505|00002140.PDF
20|31|189-193|Dan Ryan Woods|Top-Soiling and Landscape Plan|69-06|5|4-69|0|0||171|00002141.PDF
20|31|186-188|Dan Ryan Woods|Tree and Shrub Planting|69-15|3|6-69|0|0||172|00002142.PDF
20|31|180-185|Dan Ryan Woods|Comfort Station and Shelters|68-49|6|9-68|0|0||173|00002143.PDF
20|31|177-179|Dan Ryan Woods - Brezina Woods|Re-Roofing Existing Buildings|68-61|3|10-68|0|0||174|00002144.PDF
20|31|173-176|Dan Ryan Woods|Landscape Work|68-43|4|8-68|0|0||175|00002145.PDF
20|31|166-172|Dan Ryan Woods|Pavement for Parking Area and Drive|68-41|7|8-68|0|0||176|00002146.PDF
20|31|152|Dan Ryan Woods|Pipe Gate Inst. - 87th and Western||1|2-68|0|0||178|00002147.PDF
20|31|153-165|Dan Ryan Woods|Excavation - Grading and Utilities|68-40|13|8-68|0|0||177|00002148.PDF
20|31|150-151|Dan Ryan Woods|Bituminous and Asbestos Felt Roofing|68-13|2|3-68|0|0||179|00002149.PDF
20|31|148-149|Dan Ryan Woods|Fencing Between 87th and 83rd|5107-A|2|11-67|0|0||180|00002150.PDF
20|31|137-138|Dan Ryan Woods|Landscape Plan|EPR-7|2|9-67|0|0||182|00002151.PDF
20|31|133-136|Dan Ryan Woods|Comfort Station|1520|4|5-66|0|0||472|00002152.PDF
20|31|139-147|Dan Ryan Woods|Walkway and Drainage|5088A|9|6-67|0|0||181|00002153.PDF
20|31|130-132|Dan Ryan Woods|Landscape Work||3|8-66|0|0||473|00002154.PDF
20|31|128-129|Dan Ryan Woods|Heating, Ventilation and Electric - Comfort Station|5098-A|2|10-66|0|0||474|00002155.PDF
20|31|126-127|Dan Ryan Woods|Landscape Work|5080-A|2|3-66|0|0||475|00002156.PDF
20|31|113-125|Dan Ryan Woods|Parking Area|5080A|13|7-65|0|0||476|00002157.PDF
20|31|113-125|Dan Ryan Woods|Parking Area|5080-A|13|7-65|0|0||476|00002158.PDF
20|31|111|Dan Ryan Woods|Fencing and Barrier Posts||1|1-62|0|0||478|00002159.PDF
20|31|109-110|Dan Ryan Woods|Bituminous Parking Area and Drive|5072-A|2|11-61|0|0||479|00002160.PDF
20|31|108|Dan Ryan Woods|Electric Service|5071-A|1|10-61|0|0||480|00002161.PDF
20|31|*|Dan Ryan Woods|Bituminous Pavement|5043-A-2, 5108-2, 4082|4|8-55|15|26|16-19|517|00002162.PDF
20|31|*|Dan Ryan Woods|Bituminous Pavement|5043-A-4, 5108-2, 4082|4|8-55|15|26|16-19|517|00002163.PDF
20|31|*|Dan Ryan Woods|Bituminous Pavement|5043-A-4|4|8-55|15|26|16-19|517|00002164.PDF
20|31|*|Dan Ryan Woods|Bituminous Pavement|5108-2|4|8-55|15|26|16-19|517|00002165.PDF
20|31|008-015|Dan Ryan Woods (Beverly Hills) North of 87th Street|Warming Shelter|C.W.A.531 - C.O.238|8|2-34|0|0||506|00002166.PDF
20|31|008-015|Dan Ryan Woods (Beverly Hills) North of 87th Street|Warming Shelter|C.W.A.527|8|2-34|0|0||506|00002167.PDF
20|31|001-007|Dan Ryan Woods (Void)|Comfort Station - Utilities|343|7|8-35|0|0||507|00002168.PDF
20|31|107 A & B|Dan Ryan Woods|Grading and Drainage Plan|5068-A|3|4-61|0|0||481|00002169.PDF
20|31|104-106|Dan Ryan Woods|Walks, Drive Service Building and Comfort Station|5067-A|3|4-61|0|0||482|00002170.PDF
20|31|103|Dan Ryan Woods|Electrical - Warming Shelter||1||0|0||483|00002171.PDF
20|31|101|Dan Ryan Woods (Beverly Hills)|Theatre Location||1||0|0||485|00002172.PDF
20|31|100|Dan Ryan Woods (87th Street)|Water Service Connections|C.O. 67|1|12-32|0|0||486|00002173.PDF
20|31|098-099|Dan Ryan Woods|Skating Pond and P.A.|C.W.A.520 - C.O.212|2|11-34|0|0||487|00002174.PDF
20|31|097|Dan Ryan Woods (Beverly Hills)|Water Service to Shelter Toilets|C.W.A.527|1|3-34|0|0||488|00002175.PDF
20|31|096|Dan Ryan Woods (Beverly Hills)|Combined Sewer Outlet||1|11-32|0|0||489|00002176.PDF
20|31|095|Dan Ryan Woods (Beverly Hills)|Grading and Drainage - Warming Shelter|C.O. 238|1|1-34|0|0||490|00002177.PDF
20|31|094|Dan Ryan Woods|Comfort Station - Booster Pump||1|6-49|0|0||491|00002178.PDF
20|31|089-093|Dan Ryan Woods (Beverly Hills)|Grading Plan - Outdoor Theatre||5|12-34|0|0||492|00002179.PDF
20|31|087-088|Dan Ryan Woods|Parking Space and Skating Pond|C.W.A.520 - C.O.212|2|3-34|0|0||493|00002180.PDF
20|31|086|Dan Ryan Woods|Log Rail Barrier|520, 5033, 543|1|6-35|0|0||494|00002181.PDF
20|31|083-085|Dan Ryan Woods|Stone Stairway and Walks||3|12-35|0|0||495|00002182.PDF
20|31|081-082|Dan Ryan Woods (Beverly Hills)|Municipal Opera Stage||2||0|0||496|00002183.PDF
20|31|066-080|Dan Ryan Woods|Excavation and Grading|5043-A-3|15|6-55|0|0||497|00002184.PDF
20|31|047-065|Dan Ryan Woods|Earthwork and Drainage|5045-A-1|19|5-56|0|0||498|00002185.PDF
20|31|037-046|Dan Ryan Woods|Toboggan Slides|5020-A|11|4-54|0|0||499|00002186.PDF
20|31|032-036|Dan Ryan Woods, Loc.A, Eggers Grove Loc B|Bit. Mac. Parking Area and Drive|5045-A-2, 5046-A|7|6-56|0|0||500|00002187.PDF
20|31|032-036|Dan Ryan Woods, Loc.A, Eggers Grove Loc B|Bit. Mac. Parking Area and Drive|5045-A-2|7|6-56|0|0||500|00002188.PDF
20|31|032-036|Dan Ryan Woods, Loc.A, Eggers Grove Loc B|Bit. Mac. Parking Area and Drive|5046-A|7|6-56|0|0||500|00002189.PDF
20|31|031|Dan Ryan Woods|Walks and Driveway|5032-A|1|5-54|0|0||501|00002190.PDF
20|31|025-030|Dan Ryan Woods|Driveway|5032-A|6|6-54|0|0||502|00002191.PDF
20|31|21-24|Dan Ryan Woods|Landscape Work|5047-A|4|6-56|0|0||503|00002192.PDF
20|31|18-20|Dan Ryan Woods|Storm Sewer|5043-A-2|3|4-55|0|0||504|00002193.PDF
20|6|135|CALUMET DIVISION HEADQUARTERS|UST REMOVAL AND UPGRADE|95-23C|1|5-97|||||00002194.PDF
20|6||CALUMET DIVISION HEADQUARTERS|GRADING PLAN SERVICE YARD AND DRIVEWAY|95-062|11|9-96|||||00002195.PDF
20|6|131|CALUMET DIVISION HEADQUARTERS|SERVICE YARD AND DRIVEWAY|95-062|11||||||00002196.PDF
20|6|110-120|CALUMET DIVISION HEADQUARTERS|NEW SERVICE BUILDING|92-12|11|4-95|||||00002197.PDF
20|6|107-109|Calumet Division Headquarters|Exterior Repairs to Caretaker's Residence - 1826 West 91st Street|92-20|3|7-92|0|0||221|00002198.PDF
20|6|098-106|Calumet Division|Various Locations - Concrete Barrier Post Installation|91-06|9|7-91|0|0||222|00002199.PDF
20|6|090-097|Calumet Division|Concrete Barrier Post Installation - Various Locations|90-07|8|4-90|0|0||223|00002200.PDF
20|6|077-089|Palos Division Headquarters and Calumet Division Headquarters|Two Service Buildings|77-07|13|11-77|0|0||224|00002201.PDF
15|27|84|SALT CREEK DIVISION HEADQUARTERS|FUEL PUMPS AND STORAGE TANKS|84-14|1|6/84|0|0||224|00002202.PDF
20|6|075-076|Dan Ryan Woods|Comfort Station and Refectory - Project 11 and 12|341, 342|2|8-35|0|0||225|00002203.PDF
20|6|074|Dan Ryan Woods|Comfort Station - Utilities|342|1|8-35|0|0||226|00002204.PDF
20|6|073|Dan Ryan Woods|Comfort Station - Utilities|341|1|8-35|0|0||227|00002205.PDF
20|6|072|Calumet Division Headquarters|Sewer Repair Plan|T & M|1|3-70|0|0||228|00002206.PDF
20|6|071|Calumet Division Headquarters|Heating Alterations|38-68|1|10-68|0|0||229|00002207.PDF
20|6|70|DAN RYAN WOODS|HEATING PLANT FOR EXISTING COMFORT STATION|EPR-59|2|9-65|||||00002208.PDF
20|6|068|DAN RYAN WOODS|HEATING PLANT FOR EXISTING COMFORT STATION|1476|1|6-63|0|0||231|00002209.PDF
20|6|060-067|Dan Ryan Woods|Interior Remodeling - Caretaker's Residence|5076-A|8|1-62|0|0||232|00002210.PDF
20|6|059|Dan Ryan Woods|Concrete Barrier Posts|8042|1|8-52|0|0||183|00002211.PDF
20|6|058|Dan Ryan Woods (91st and Longwood)|Present Building||1|4-40|0|0||184|00002212.PDF
20|6|057|Calumet Division Headquarters|Remodel Existing Building||1|9-40|0|0||185|00002213.PDF
20|6|052-056|Calumet Division Headquarters|Garage, Shop and Storage Building||5|6-41|0|0||186|00002214.PDF
20|6|051|Calumet Division Headquarters|Roof Truss - Shop Area||1|12-51|0|0||187|00002215.PDF
20|6|050|Calumet Division Headquarters|Garage Building||1|4-50|0|0||188|00002216.PDF
20|6|048-049|Dan Ryan Woods|Parking Space and Entrance. Drive|C.W.A.521 - C.O.213|2|1-34|0|0||189|00002217.PDF
20|6|046|Dan Ryan Woods|Chain Link Fencing|5013-A|1|3-49|0|0||191|00002218.PDF
20|6|047|Calumet - Palos and Tinley Creek Headquarters|Metal Building||1|10-55|0|0||190|00002219.PDF
20|6|044-045|Dan Ryan Woods (91st and Longwood)|Addition to Parking Area|5028-A|2|5-51|0|0||192|00002220.PDF
20|6|043|Dan Ryan Woods|Prop. Conc. Walk||1|3-58|0|0||193|00002221.PDF
20|6|042|Dan Ryan Woods|Conc. Steps||1||0|0||194|00002222.PDF
20|6|039-041|Dan Ryan Woods|Conc. Walk|5017-A|3|1-50|0|0||195|00002223.PDF
20|6|038|Dan Ryan Woods|Sketch for Foundation - Barn||1||0|0||196|00002224.PDF
20|6|035-037|Calumet Division Headquarters|Misc. Impr. Metal Service Building|7057|3|9-55|0|0||197|00002225.PDF
20|6|034|Calumet Division Headquarters|Water Supply System||1|6-40|0|0||198|00002226.PDF
20|6|033|Calumet Division Headquarters|Water Service||1||0|0||199|00002227.PDF
20|6|032|Calumet Division Headquarters|Entrance. Drive and Warehouse Yard||1|8-40|0|0||200|00002228.PDF
20|6|029|Calumet Division (Beverly Hills Tract)|Foot Bridge|C.O. 67|1|4--33|0|0||202|00002229.PDF
20|6|028|Calumet Division (Beverly Hills)|Stone Headwall|C.O.67|1|12-32|0|0||203|00002230.PDF
20|6|026-027|Calumet Division (Beverly Hills)|Wading Pool|C.W.A.529 - C.O.236|2|1-34|0|0||204|00002231.PDF
20|6|026-027|Calumet Division (Beverly Hills)|Wading Pool|C.W.A.529|2|1-34|0|0||204|00002232.PDF
20|6|025|Calumet Division|Storage Pool in Ravine|529|1|6-35|0|0||205|00002233.PDF
20|6|017-024|Calumet Division (Beverly Hills)|Ravine Improvement|24|8|5-37|0|0||206|00002234.PDF
20|6|012-016|Dan Ryan Woods|Parking Area|44|5|3-37|0|0||207|00002235.PDF
20|6|011|Dan Ryan Woods|Sewer Entrance. - Catch Basin||1|4-51|0|0||208|00002236.PDF
20|6|010|Dan Ryan Woods|Conc. Walk - Replacement|5017-A|1|4-50|0|0||209|00002237.PDF
20|6|009|Dan Ryan Woods|Foot Bridge Crossing Ravine|5034-A|1|6--52|0|0||210|00002238.PDF
20|6|006-008|Dan Ryan Woods|Conc. Dance Floor|5037-A|3|1-54|0|0||211|00002239.PDF
20|6|003-005|Dan Ryan Woods|Conc. Walk and Integral Curb|5038-A|3|8-54|0|0||212|00002240.PDF
20|6|002|Dan Ryan Woods|Warehouse Yard and P.A. Lighting||1|9--54|0|0||213|00002241.PDF
22|13|29|CAMP SAGAWA|PLAN & QUANTITIES DOMESTIC WATER SYSTEM RESIDENCE & WORKSHOP|EPR-6|1|3-69|||||00002242.PDF
22|13|*|Sag Valley Division|Stone Spoil Bank Removal and Site Restoration|EPR 4-90|2|2-90|22|13|103-104|408|00002243.PDF
22|13|102|CAMP SAGAWAU|REROOFING OF EXISTING RESIDENCE & WORKSHOP|89-23|2|9-89|||||00002244.PDF
22|13|100|CAMP SAGAWAU|PARKING AREA & DRIVE|89-03|11|4-89|||||00002245.PDF
23|8|*|Palos Nature Center - Camp Sagawau|Roof Restoration of Various Locations|84-03|4|3-84|22|13|86-89|234|00002246.PDF
24|32|85|Sag Valley & Thorn Creek|Pavement Stripping|EPR11-83|3|4-83|22|13|83-85|2161|00002247.PDF
24|32|84|Sag Valley & Thorn Creek|Pavement Stripping|EPR 11-83|3|4-83|22|13|83-85|2161|00002248.PDF
23|30|82|Sag Quarries & Sag Valley Div. Hdqt.|Landscape Work|81-01|6|1-81|22|13|77-82|2076|00002249.PDF
22|13||OLD ARCHER AVE. SAQ QUARRIES|DRIVEWAY & PARKING AREA|79-01|12|1-76|3|12|46-51||00002250.PDF
22|13|60|CAMP SAGAWAU|CONCRETE STREAM FORD|75-02|5|7-75|||||00002251.PDF
22|13|55|CAMP SAGAWAU|SERVICE DRIVE|75-03|6|8-75|||||00002252.PDF
22|13|45|CAMP SAGAWAU|RE-ROOFING OF THIRTEEN (13) CABINS|EPR-68|1|10-70|||||00002253.PDF
22|13|30|CAMP SAGAWAU|SANITARY SEWER FOR RESIDENCE & WORKSHOP|EPR-5|2|1-69|||||00002254.PDF
22|13|28|CAMP SAGAWAU|LANDSCAPE PLAN|EPR-64|2|8-69|||||00002255.PDF
22|13|44|CAMP SAGAWAU|DRIVEWAY|70-10|9|3-70|||||00002256.PDF
22|13|35|CAMP SAGAWAU|DRIVEWAYS FOR RESIDENCE & WORKSHOP|EPR-59|2|8-69|||||00002257.PDF
22|13|26|CAMP SAGAWAU|INSTALLATION OF NEW HOT WATER BOILER FOR SHOWER ROOM|EPR-65|1|9-69|||||00002258.PDF
22|13||EXISTING SAGAWAU FARMHOUSE|BOILER ALTERATIONS||||||||00002259.PDF
22|13|17-24|SAGAWAU RESIDENCE & WORKSHOP|MEP DRAWINGS|68-39|8|1968|23|8|17-24|263|00002260.PDF
23|8|*|Little Red Schoolhouse and Var.|Work Shop and Residence|6839|11|8-68|22|13|06-16|264|00002261.PDF
23|8|*|Little Red Schoolhouse and Var.|Work Shop and Residence|68-39|11|8-68|22|13|06-16|264|00002262.PDF
22|13|05|CAMP SAGAWAU|REPAIRS & REMODELING OF LODGE|5110|4|10-54|||||00002263.PDF
22|13|001|CAMP SAGAWAU|PORCH ENCLOSURE - STORM SASH - FARM HOUSE - 2ND FLOOR||1|4-55|||||00002264.PDF
22|12|001|SOUTH OF ARCHER AVE. & WEST OF RED GATE RD|TRAIL CULVERT||||||||00002265.PDF
22|11|003-036|I AND M CANAL BICYCLE TRAIL|HENRY DE TONTY WOODS TO ILLINOIS ROUTE 83|88-21|34|9/88|0|0||3882|00002266.PDF
22|11|001-002|PALOS DIVISION|CONCRETE BARRIER  POST INSTALLATION|83-09|2|3/83|0|0||3883|00002267.PDF
22|24|23|SAG FOREST CAMP|N.P.S. PROJECTS 143, 202, 409||5|1-35|||||00002268.PDF
22|24||SAG FOREST|LOCATION PLAN - 4 AND 5 CAR GARAGE|||9-36|||||00002269.PDF
22|24|16|SAG FOREST|HEATING PLANT FOR REPAIR SHOP|8-157||12-36|||||00002270.PDF
22|24|15|SAG FOREST|HEATING PLANT FOR POWER HOUSE|2-157-A||12-36|||||00002271.PDF
22|24||SAG FOREST CAMP|WORK & BARRIER SHOP||1|7-31|||||00002272.PDF
22|24|12|SAG FOREST CAMP|TRUCK GARAGE & EQUIPMENT STORAGE BUILDING|||7-35|||||00002273.PDF
22|24|10|SAG FOREST CAMP|ENCLOSURE FOR CRUSHER SCREENS|120|1|10-36|||||00002274.PDF
22|24|009|SAG FOREST CAMP|THREE CAR GARAGE||1|2-35|||||00002275.PDF
22|24|008|SAG FOREST CAMP|STONE SAW DETAIL FOR QUARRY||||||||00002276.PDF
22|24|007|SAG FOREST CAMP|PLAN OF QUARRY|||10-36|||||00002277.PDF
22|24|006|SEWAGE TREATMENT PLANT SITE|TOPOGRAPHY||||||||00002278.PDF
22|24|05|CAMP SAG FOREST|BARRIER SHOP & TOOL ROOM BLDG.||1|1-36|||||00002279.PDF
22|24|04|CAMP SAG FOREST|TOOL ROOM & GARAGE EXTENSION||2|3-36|||||00002280.PDF
22|24|03|CAMP SAG FOREST|ALTERATIONS FOR 3 CAR GARAGE||1|3-36|||||00002281.PDF
22|24|002|SAG FOREST|4 CAR GARAGE|||9-38|||||00002282.PDF
22|24|001|SAG FOREST|5 CAR GARAGE|||9-38|||||00002283.PDF
22|19|415|PART OF LEMONT TWP. AND BLOOM TWP.|PHOTOGRAMETRIC MAPPING|73-05|3|3-73|||||00002284.PDF
22|19||BLACK PARTRIDGE WOODS|STONE PATTERN FOOT BRIDGE||||||||00002285.PDF
22|19|12|BLACK PARTRIDGE WOODS|FLOWING WELL & FOUNTAIN HEAD|||6-36|||||00002286.PDF
22|19||BLACK PARTRIDGE WOODS|FOOT TRAIL BRIDGE|207A|2|10-36|||||00002287.PDF
22|19||BLACK PARTRIDGE WOODS|ROADSIDE PARKING AREA||||||||00002288.PDF
22|19|01|BLACK PARTRIDGE WOODS|TOPOGRAPHIC MAP|||10-36|||||00002289.PDF
22|19|10|BLACK PARTRIDGE WOODS|FOOT BRIDGE||2|10-35|||||00002290.PDF
22|14|003|CAMP SAGAWAU|OVERFLOW STRUCTURE FOR SAG QUARRY LAKE|81-04|3||||||00002291.PDF
22|13|105|CAMP SAGAWAU|STRIPING PLAN|EPR 23-90|1|10-90|||||00002292.PDF
22|13|49|CAMP SAGAWAU|NEW WASH ROOM FACILITIES FOR EXISTING LODGE|71-36|3|10-71|||||00002293.PDF
22|13|46|CAMP SAGAWAU|NEW WELL FOR EXISTING LODGE BUILDING|EPR 69-71|1|9-71|||||00002294.PDF
22|13|33|CAMP SAGAWAU|GAS SERVICE EXTENSION||1|2-69|||||00002295.PDF
22|13|32|CAMP SAGAWAU|ELECTRIC SERVICE EXTENSION|EPR-25|1|2-69|||||00002296.PDF
22|19|002|BLACK PARTRIDGE WOODS|PROFILE OF FOOT BRIDGE||||||||00002297.PDF
23|30|004|Sag Valley Div. Hdqts.|Septic Tank & Disposal Field|5223|1|1964|0|0||2085|00002298.PDF
23|30|001-003|Sag Valley Div. Hdqts.|Service Yard & Drive||3|2-66|0|0||2086|00002299.PDF
23|28|062|Papoose Lake|Conc. Trail Bridge Over Emergency Spillway||1|3-57|0|0||2095|00002300.PDF
23|28|060-061|Horsetail Slough|Shoreline Protection|75-32|2|9-75|0|0||2096|00002301.PDF
23|28|054-059|Horsetail Slough|Earthwork|876|6|11-71|0|0||2097|00002302.PDF
23|28|047-053|Papoose Lake|Channel Deepening|5241|7|8-66|0|0||2098|00002303.PDF
23|28|040-046|Cherry Hill Woods|Bit. Parking Area|5160|7|5-62|0|0||2099|00002304.PDF
23|28|039|Horsetail Slough|Landscape Work|5200|1|5-62|0|0||2100|00002305.PDF
23|28|030-038|Horsetail Slough|Earthwork & Drainage|5200|9|5-62|0|0||2101|00002306.PDF
23|28|029|Cherry Hill Woods|Landscape Work|5160|1|1962|0|0||2064|00002307.PDF
23|28|020-028|Papoose Lake|Earthwork & Drainage|5141|9|7-57|0|0||2065|00002308.PDF
23|28|007-019|Papoose Lake|Lake Development|5105|14|1-56|0|0||2066|00002309.PDF
23|28|002-006|Mannheim Road & 121st St.|Equestrian Underpass||5||0|0||2067|00002310.PDF
23|28|002-006|Mannheim Road & 121st St.|Equestrian Underpass||5|3-36|0|0||2067|00002311.PDF
23|28|001-006|Forty Acre Woods|Parking Area Improvements||6|3-36|0|0||2072|00002312.PDF
23|23|003-004|Paddock Woods|Parking Area Improvements|F-511|2|6-35|0|0||2061|00002313.PDF
23|23|001-002|Swallow Cliff Woods|Trail Bridge|B-102|2||0|0||2062|00002314.PDF
23|30|042-043|Sag Valley Div.|Concrete Barrier Post Installation|84-09|3|3-84|0|0||2078|00002315.PDF
23|30|036-041|Sag Valley Div. Hdqt. & 18 Hole G. C.|Chain Link Fencing|81-03|6|2-81|0|0||2079|00002316.PDF
23|30|025-035|Sag Valley Div. Hdqt.|Driveway & Service Yard|80-07|11|4-80|0|0||2080|00002317.PDF
23|32|018-025|Columbia Woods|Earthwork and Drainage|5100|8|9-58|0|0||2130|00002318.PDF
23|34|001-006|131st St. & Southwest Highway|Combination Bldg.-Chg.. Girl Scouts||6|10-39|0|0||2137|00002319.PDF
23|34|001-006|131st St. & Southwest Highway|Combination Bldg.-Chg.. Girl Scouts|5237|6|10-39|0|0||2137|00002320.PDF
23|32|027-028|Columbia Woods|Bituminous Resurfacing|93-07|2|5-93|0|0||2333|00002321.PDF
23|32|026|Columbia Woods|Boat Landing|EPR 24-84|1|4-84|0|0||2129|00002322.PDF
23|32|007-017|Columbia Woods|Earthwork and Drainage|5100|11|1-58|0|0||2131|00002323.PDF
23|32|001-006|Columbia Woods|Bituminous Surf. Treatment|5171|6|2-60|0|0||2132|00002324.PDF
23|31|001|Tampier Lake - F.P.D. Bldgs.|Septic System|97-54|1|9-65|0|0||2126|00002325.PDF
23|31||Tampier Lake|Shoreline Protection|88-17|||||||00002326.PDF
23|31|152-156|Tampier Lake Boating Center|Landscape Work|90-13|5|7-90|0|0||2107|00002327.PDF
23|31|134-151|Tampier Lake|Parking Area & Boat Ramp|89-11|17|10-89|0|0||2108|00002328.PDF
23|31|125-133|Tampier Lake|New Boating & Concession Building|89-10|9|9-89|0|0||2109|00002329.PDF
23|31|118-124|Tampier Lake|Overflow Parking Area & Drive|87-20|7|7-87|0|0||2110|00002330.PDF
23|31|115-117|Tampier Lake|Repair of Dam|86-20|3|7-86|0|0||2116|00002331.PDF
23|31|045-114|Tampier Lake|Development Plans||70|8-62|0|0||2117|00002332.PDF
23|31|043-044|Tampier Lake|Shoreline Protection|74-18|2|5-74|0|0||2118|00002333.PDF
23|31|041-042|Tampier Lake|Shoreline Protection|72-39|2|10-72|0|0||2119|00002334.PDF
23|31|033-040|Tampier Lake|Driveway & Parking Area|72-16|8|4-72|0|0||2120|00002335.PDF
23|31|032|Tampier Lake|Landscape Work|EPR 5-73|1|1-73|0|0||2121|00002336.PDF
23|31|030-031|Tampier Lake|Shoreline Protection|70-36|2|8-70|0|0||2122|00002337.PDF
23|31|024-029|Tampier Lake & Various|Landscape Plan|69-04|6|2-69|0|0||2123|00002338.PDF
23|31|007-023|Tampier Lake|Parking and Drive|68-05|17|3-68|0|0||2124|00002339.PDF
23|31|002-006|Tampier Lake & Belly Deep Slough|Large Tree Planting|5263|5|8-67|0|0||2125|00002340.PDF
23|31|001|Tampier Lake - F.P.D. Bldgs.|Septic System||1|9-65|0|0||2126|00002341.PDF
23|30|021-024|Sag Valley Div. Hdqt. Bldg.|Gas Handling & Dispensing System|79-18|4||0|0||2081|00002342.PDF
23|30|019-020|Sag Valley Div. Hdqt. Bldg.|New Well|79-17|2||0|0||2082|00002343.PDF
23|30|006-018|Sag Valley Div. Hdqts. Building||78-12|13|1-79|0|0||2083|00002344.PDF
23|30|005|Sag Valley Div. Hdqts.|Gas Pump & Storage Tank|5237|1|9-65|0|0||2084|00002345.PDF
23|21|116-125|Palos Winter Sports Area|New Toboggan Slides and Foot Bridge|68-35|10|6-68|0|0||436|00002346.PDF
23|21|112-115|Palos Winter Sports Area|Cover and Seal Coat Resurfacing.|68-45|4|8-68|0|0||437|00002347.PDF
23|21|109-111|Swallow Cliff Woods|Restoration Picnic Shelter|68-34|3|6-68|0|0||438|00002348.PDF
23|21|106-108|Swallow Cliff Woods|Service Bridge 1|5089|3|2-53|0|0||439|00002349.PDF
23|21|105|Palos Hills Winter Sports Area|Underground Electric Service|5045|1|1946|0|0||440|00002350.PDF
23|21|104|Palos Hills Toboggan Slides|Foot Bridge (Stone Pier)||1|8-38|0|0||441|00002351.PDF
23|21|103|Palos Hills Sports Area|Lighting Layout - Warming Shelter||1|12-39|0|0||442|00002352.PDF
23|21|098-102|Palos Hills Toboggan Slides|Electric and Flood Lighting - Gate Controls|40|5|8-38|0|0||443|00002353.PDF
23|21|093-095|Palos Hills Winter Sports Area|Underground Electric Service - Flood Lighting|54|2|8-41|0|0||445|00002354.PDF
23|21|0922|Swallow Cliff|Overhead Telephone Line|5119|1|11-54|0|0||446|00002355.PDF
23|21|088-091|Palos Toboggan Slides|Rehabilitation||4|5-58|0|0||447|00002356.PDF
23|21|088-091|Palos Toboggan Slides|Rehabilitation|FP-5704|4|5-58|0|0||447|00002357.PDF
23|21|085-087|Palos Hills Area|Terrace for Concession Building|76|3|4-41|0|0||448|00002358.PDF
23|21|083-084|Palos Park Ski Slide|Warming House|280|2|1929|0|0||449|00002359.PDF
23|21|082|Palos Hills|Seats for Toboggan Slide||1|10-37|0|0||450|00002360.PDF
23|21|081|Palos Toboggan Slides|Stone Pattern for Seat||1|10-37|0|0||451|00002361.PDF
23|21|079-080|Palos Hills Toboggan Slides|Utilities - Concession Building|35|2|4-39|0|0||452|00002362.PDF
23|21|076-078|Palos Hills Winter Sports Area|Ski-Slide - Judges Stand||3|10-37|0|0||453|00002363.PDF
23|21|069-075|Palos Hills|Concession Building||7|2-38|0|0||454|00002364.PDF
23|21|068|Palos Hills|Profile Toboggan Slides|S.P.55|1|2-38|0|0||455|00002365.PDF
23|21|067|Palos Hills|Toboggan Slides Locks - Top and Bottom||1|5-41|0|0||456|00002366.PDF
23|21|066|Palos Hills|Rollers and Gate Slides||1|6-39|0|0||457|00002367.PDF
23|21|059-065|Palos Hills|Additions Toboggan Platform and Tower|50|7|3-41|0|0||458|00002368.PDF
23|21|051-058|Swallow Cliff|Toboggan Control Building|10-157|8|1-37|0|0||459|00002369.PDF
23|21|096-097|Palos Hills Toboggan Slides|Electric Gate|40|2|2-39|0|0||444|00002370.PDF
23|21|051-058|Swallow Cliff|Toboggan Control Building|8-157|8|1-37|0|0||459|00002371.PDF
23|21|047-050|Palos Hills|Pedestrian Parking - Overlook||4|6-41|0|0||460|00002372.PDF
23|21|043-046|Palos Hills|Pedestrian Parking Overlook|51|4|4-41|0|0||461|00002373.PDF
23|21|037-042|Swallow Cliff Woods|Parking Space|C.O. 97|6|4-33|0|0||462|00002374.PDF
23|21|036|Palos  Toboggan Slides|Electrical Gates|40|1|10-38|0|0||463|00002375.PDF
23|21|032-035|Palos Hills|Foot Bridge Over Toboggan Slides||4|7-38|0|0||464|00002376.PDF
23|21|022-031|Swallow Cliff Woods|Parking Area Improvements||10|11-36|0|0||465|00002377.PDF
23|21|010-021|Teason Woods, Loc. 1 and Cherry Hill Woods, Loc. 2|Parking Area and Drive|5181-5179|12|1-58|0|0||466|00002378.PDF
